"id","thinning","dev","th","a","d","n","N_ini","N","point_density_sim_gp","mean_deviation"
70,"deviation_10",0.0234076269284937,0.1,6,6,20,400,360,3.6,0.027295093031633
70,"deviation_30",0.0399757756697073,0.3,6,6,20,400,280,2.8,0.054607618591806
70,"deviation_50",0.0853745971704506,0.5,6,6,20,400,200,2,0.0835592116727197
70,"deviation_80",0.15889889385081,0.8,6,6,20,400,80,0.8,0.184425120965873
71,"deviation_10",0.0757085875135903,0.1,6,1,30,900,810,8.1,0.0672337562567494
71,"deviation_30",0.13968865546145,0.3,6,1,30,900,630,6.3,0.138937137618178
71,"deviation_50",0.255715650855831,0.5,6,1,30,900,450,4.5,0.23355079933954
71,"deviation_80",0.571733470085849,0.8,6,1,30,900,180,1.8,0.643910126338558
72,"deviation_10",0.04152103544436,0.1,6,1.5,30,900,810,8.1,0.0432562344799419
72,"deviation_30",0.102583163980359,0.3,6,1.5,30,900,630,6.3,0.0960659992111504
72,"deviation_50",0.13756486573989,0.5,6,1.5,30,900,450,4.5,0.147768637576083
72,"deviation_80",0.399091001743393,0.8,6,1.5,30,900,180,1.8,0.349692429707488
73,"deviation_10",0.0208417759178394,0.1,6,3,30,900,810,8.1,0.0274165530164892
73,"deviation_30",0.042632908063501,0.3,6,3,30,900,630,6.3,0.0548683806122472
73,"deviation_50",0.0991812739455853,0.5,6,3,30,900,450,4.5,0.0862725010523943
73,"deviation_80",0.158799900044171,0.8,6,3,30,900,180,1.8,0.170656777598871
74,"deviation_10",0.0246549629953971,0.1,6,4,30,900,810,8.1,0.0235567521328071
74,"deviation_30",0.0388506835290305,0.3,6,4,30,900,630,6.3,0.0434416636124562
74,"deviation_50",0.0653363221724546,0.5,6,4,30,900,450,4.5,0.0663860607248535
74,"deviation_80",0.127469551974422,0.8,6,4,30,900,180,1.8,0.134602001946721
75,"deviation_10",0.0198230576606004,0.1,6,6,30,900,810,8.1,0.0190067519228502
75,"deviation_30",0.0366009588026742,0.3,6,6,30,900,630,6.3,0.0391150710425973
75,"deviation_50",0.0673930014995119,0.5,6,6,30,900,450,4.5,0.061583366373797
75,"deviation_80",0.150089924119225,0.8,6,6,30,900,180,1.8,0.119952475720633
76,"deviation_10",0.517178844685532,0.1,6,1,10,100,90,0.9,0.412541968336326
76,"deviation_30",0.645045193782214,0.3,6,1,10,100,70,0.7,0.96531522298236
76,"deviation_50",1.39015748103839,0.5,6,1,10,100,50,0.5,1.64482715047682
76,"deviation_80",2.53968406729625,0.8,6,1,10,100,20,0.2,3.25486088850788
77,"deviation_10",0.229852023105406,0.1,6,1.5,10,100,90,0.9,0.212747779207969
77,"deviation_30",0.806290455072294,0.3,6,1.5,10,100,70,0.7,0.537122187050506
77,"deviation_50",1.15645206418541,0.5,6,1.5,10,100,50,0.5,0.998932523019561
77,"deviation_80",2.29273212837747,0.8,6,1.5,10,100,20,0.2,2.43805133869458
78,"deviation_10",0.124503783973573,0.1,6,3,10,100,90,0.9,0.0771454448904091
78,"deviation_30",0.14762480441806,0.3,6,3,10,100,70,0.7,0.202636452790062
78,"deviation_50",0.32738730563918,0.5,6,3,10,100,50,0.5,0.309749764314976
78,"deviation_80",0.829031060926768,0.8,6,3,10,100,20,0.2,0.930643936463413
79,"deviation_10",0.0406661076938503,0.1,6,4,10,100,90,0.9,0.0653060275588064
79,"deviation_30",0.148559762786155,0.3,6,4,10,100,70,0.7,0.152061680522147
79,"deviation_50",0.34697159140342,0.5,6,4,10,100,50,0.5,0.265254125356907
