"id","deviation_10","deviation_30","deviation_50","deviation_80","a","d","n","N","N_10","N_30","N_50","N_80","point_density_sim_gp","mean_deviation_10","mean_deviation_30","mean_deviation_50","mean_deviation_80"
93,0.0923605034723249,0.185593005959132,0.357836040095518,0.986829235496264,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
94,0.110940780801169,0.218084398727491,0.171000417442414,0.780305291240649,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
95,0.0457329506602644,0.0817798992066587,0.14453108698911,0.58199534568873,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
96,0.149124369830046,0.230312869711242,0.473152793960297,1.41758309590954,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
97,0.0630888216089696,0.175998282229859,0.257554098841309,0.643718771853499,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
98,0.0645420345331995,0.0894074745252774,0.13293532008774,0.276591253666653,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
99,0.0288931529778343,0.0704762830215817,0.0856371731947854,0.253057716216527,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
100,0.0244365003155474,0.0509082086708089,0.108842152595906,0.149835489829128,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
101,0.0580280377211879,0.132555944986134,0.194811875273783,0.598249512137181,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
102,0.0411369115860857,0.108090629451712,0.139333641291828,0.329060973693776,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
103,0.0304668944884443,0.0607236472769214,0.0810594801711554,0.181054178346559,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
104,0.0155647540292484,0.050223678639817,0.0745362963526478,0.152391994420427,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
105,0.0186402415737187,0.0508426201042548,0.0616454427382261,0.104616204218447,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
106,0.410323996023743,0.942574473088716,1.70020372461478,2.86422160160343,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
107,0.527683277977639,0.656080044948948,0.762726853846005,3.13288841300462,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
108,0.0554626442686035,0.147379065850324,0.236162485876333,0.632788901205142,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
109,0.0429801923436882,0.134128263269494,0.186729629504565,0.46254507931446,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
110,0.0289255598651506,0.123276870654578,0.170462026533672,0.187547947371947,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
111,0.111142363820922,0.34096948901737,0.490855453997517,1.71622348698449,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
112,0.0532526588698046,0.139882510313718,0.246508557503783,0.57491845698145,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
113,0.0331177826213897,0.05071985684325,0.0999918403443246,0.377782626388311,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
114,0.0429656672192177,0.0747929746428018,0.116171734964895,0.172005906498197,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
115,0.0392176882022912,0.0662569285406359,0.076058295548735,0.165061738061234,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
116,0.0723566750611254,0.138830671134172,0.214742988015309,0.626383140650912,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
117,0.0417024518673952,0.077378535903247,0.140091044565178,0.36669897450059,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
118,0.0276968730424383,0.0459470805380391,0.0722112138435118,0.170861962290598,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
119,0.0181207893877476,0.0329926827489705,0.0706772773575432,0.110627194433039,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
120,0.0244432556179902,0.0416961961996769,0.0557301447433993,0.10239775758025,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
121,0.414951847351981,0.730593836418206,1.52102839167139,3.2120950389755,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
122,0.243274795480654,0.431359438739416,0.939595160860189,2.25382605001092,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
123,0.0817172198129205,0.255879920157222,0.202579730868097,1.0929677005191,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
124,0.0581161268844258,0.147805174762698,0.229482652142239,0.697265585816817,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
125,0.0551140556581557,0.155119738339011,0.199076881232286,0.400434007982074,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
126,0.0779173187337597,0.263485559669443,0.591090222476769,1.56271158288385,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
127,0.0667005678912185,0.155835474697168,0.251834289617688,0.68864679600623,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
128,0.0409005027798658,0.0938379762005477,0.088940607483088,0.275601409224229,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
129,0.0310151341665574,0.0696097072243694,0.126534382071626,0.317607589542477,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
130,0.0281088854066624,0.0711336344585488,0.0917677410861889,0.174750919553734,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
131,0.0771010567472543,0.154517643297714,0.248268925560301,0.637276512791186,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
132,0.0459239684972623,0.0850926866764173,0.151092733184475,0.290837402769022,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
133,0.0294951024554153,0.0521341414512225,0.0912395924039499,0.151037249547728,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
134,0.0215289408459953,0.0477689640545922,0.0572086797383963,0.151947717103551,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
135,0.0187459902960833,0.0332959485241057,0.0484344229555567,0.110162098223046,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
136,0.507554280852797,0.825539615950303,1.49482285854033,3.39923307658857,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
137,0.272142065920004,0.54520502808141,0.751227228078457,2.1853018884835,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
138,0.0657405797893417,0.17714830284214,0.244745164697419,1.03336145093981,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
139,0.0560765957428335,0.135123210499828,0.215478723751935,0.519971657665193,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
140,0.0402751862204657,0.0744656790566583,0.174567092734088,0.257544239825077,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
141,0.085269954308957,0.222706238008977,0.429156385194388,1.28763402643674,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
142,0.0913148202154945,0.156361145535492,0.186977820240518,0.615182059571831,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
143,0.0459301489042053,0.0955385430279932,0.147730466395763,0.334412695545308,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
144,0.0236311764095238,0.045642187088143,0.129249056413927,0.302472688979953,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
145,0.0215428485789221,0.0458201241281708,0.071310499476963,0.191685988700919,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
146,0.0509237815247266,0.122829876969782,0.243179977680352,0.602799580800531,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
147,0.0455886748382127,0.0979722679437401,0.149182930983413,0.399987174142988,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
148,0.0291244342656466,0.0498383696904983,0.082783254772829,0.149840149304904,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
149,0.0303505936890822,0.0315959849383178,0.074775454363781,0.161092014937869,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
150,0.0208663159777829,0.0349294026871497,0.071953992702035,0.110740721790454,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
