"source","parameter","value","rho_it","it","N"
"1_17_sim_GP_param.csv","mu_500",0.549468107812857,1,17,9999
"1_18_sim_GP_param.csv","alpha",4,1,18,9999
"1_18_sim_GP_param.csv","rho",0.01,1,18,9999
"1_18_sim_GP_param.csv","sigma",3,1,18,9999
"1_18_sim_GP_param.csv","mu_0",-2.33831431346204,1,18,9999
"1_18_sim_GP_param.csv","mu_50",-3.352355395654,1,18,9999
"1_18_sim_GP_param.csv","mu_150",1.55603969506173,1,18,9999
"1_18_sim_GP_param.csv","mu_300",6.814569850161,1,18,9999
"1_18_sim_GP_param.csv","mu_500",0.0251464816934251,1,18,9999
"1_19_sim_GP_param.csv","alpha",4,1,19,9999
"1_19_sim_GP_param.csv","rho",0.01,1,19,9999
"1_19_sim_GP_param.csv","sigma",3,1,19,9999
"1_19_sim_GP_param.csv","mu_0",-0.451905718475421,1,19,9999
"1_19_sim_GP_param.csv","mu_50",1.76591053930261,1,19,9999
"1_19_sim_GP_param.csv","mu_150",1.69820023833004,1,19,9999
"1_19_sim_GP_param.csv","mu_300",-1.90632826232214,1,19,9999
"1_19_sim_GP_param.csv","mu_500",2.16045142302481,1,19,9999
"1_20_sim_GP_param.csv","alpha",4,1,20,9999
"1_20_sim_GP_param.csv","rho",0.01,1,20,9999
"1_20_sim_GP_param.csv","sigma",3,1,20,9999
"1_20_sim_GP_param.csv","mu_0",5.11460244872968,1,20,9999
"1_20_sim_GP_param.csv","mu_50",2.21786776549958,1,20,9999
"1_20_sim_GP_param.csv","mu_150",-0.666614979652764,1,20,9999
"1_20_sim_GP_param.csv","mu_300",-1.98552451391955,1,20,9999
"1_20_sim_GP_param.csv","mu_500",-0.281867833528617,1,20,9999
"2_1_sim_GP_param.csv","alpha",4,2,1,9999
"2_1_sim_GP_param.csv","rho",0.1,2,1,9999
"2_1_sim_GP_param.csv","sigma",3,2,1,9999
"2_1_sim_GP_param.csv","mu_0",1.37651839848734,2,1,9999
"2_1_sim_GP_param.csv","mu_50",1.08179088113759,2,1,9999
"2_1_sim_GP_param.csv","mu_150",-4.66787741934768,2,1,9999
"2_1_sim_GP_param.csv","mu_300",1.81538594399076,2,1,9999
"2_1_sim_GP_param.csv","mu_500",-1.28284312754163,2,1,9999
"2_2_sim_GP_param.csv","alpha",4,2,2,9999
"2_2_sim_GP_param.csv","rho",0.1,2,2,9999
"2_2_sim_GP_param.csv","sigma",3,2,2,9999
"2_2_sim_GP_param.csv","mu_0",0.109877485538572,2,2,9999
"2_2_sim_GP_param.csv","mu_50",1.79185325984334,2,2,9999
"2_2_sim_GP_param.csv","mu_150",-5.38883636467551,2,2,9999
"2_2_sim_GP_param.csv","mu_300",-3.37924809697279,2,2,9999
"2_2_sim_GP_param.csv","mu_500",-1.0246314365448,2,2,9999
"2_3_sim_GP_param.csv","alpha",4,2,3,9999
"2_3_sim_GP_param.csv","rho",0.1,2,3,9999
"2_3_sim_GP_param.csv","sigma",3,2,3,9999
"2_3_sim_GP_param.csv","mu_0",-0.840251041799903,2,3,9999
"2_3_sim_GP_param.csv","mu_50",5.65416282915884,2,3,9999
"2_3_sim_GP_param.csv","mu_150",4.35824787230368,2,3,9999
"2_3_sim_GP_param.csv","mu_300",0.205436015651827,2,3,9999
"2_3_sim_GP_param.csv","mu_500",0.747557621070226,2,3,9999
"2_4_sim_GP_param.csv","alpha",4,2,4,9999
"2_4_sim_GP_param.csv","rho",0.1,2,4,9999
"2_4_sim_GP_param.csv","sigma",3,2,4,9999
"2_4_sim_GP_param.csv","mu_0",-2.39984884427565,2,4,9999
"2_4_sim_GP_param.csv","mu_50",2.73076414385135,2,4,9999
"2_4_sim_GP_param.csv","mu_150",1.05587480548948,2,4,9999
"2_4_sim_GP_param.csv","mu_300",-5.92127478134209,2,4,9999
"2_4_sim_GP_param.csv","mu_500",-1.21151893510545,2,4,9999
"2_5_sim_GP_param.csv","alpha",4,2,5,9999
"2_5_sim_GP_param.csv","rho",0.1,2,5,9999
"2_5_sim_GP_param.csv","sigma",3,2,5,9999
"2_5_sim_GP_param.csv","mu_0",2.900073936555,2,5,9999
"2_5_sim_GP_param.csv","mu_50",-0.320441191738702,2,5,9999
"2_5_sim_GP_param.csv","mu_150",-1.12004224195986,2,5,9999
"2_5_sim_GP_param.csv","mu_300",3.82435104267313,2,5,9999
"2_5_sim_GP_param.csv","mu_500",-0.37641084324688,2,5,9999
"2_6_sim_GP_param.csv","alpha",4,2,6,9999
"2_6_sim_GP_param.csv","rho",0.1,2,6,9999
"2_6_sim_GP_param.csv","sigma",3,2,6,9999
"2_6_sim_GP_param.csv","mu_0",-0.280785940546672,2,6,9999
"2_6_sim_GP_param.csv","mu_50",-2.97716712261296,2,6,9999
"2_6_sim_GP_param.csv","mu_150",2.2117923962084,2,6,9999
"2_6_sim_GP_param.csv","mu_300",-1.98436298410159,2,6,9999
"2_6_sim_GP_param.csv","mu_500",2.43412173828227,2,6,9999
"2_7_sim_GP_param.csv","alpha",4,2,7,9999
"2_7_sim_GP_param.csv","rho",0.1,2,7,9999
"2_7_sim_GP_param.csv","sigma",3,2,7,9999
"2_7_sim_GP_param.csv","mu_0",1.55587228912104,2,7,9999
"2_7_sim_GP_param.csv","mu_50",8.20813355908082,2,7,9999
"2_7_sim_GP_param.csv","mu_150",-0.473711173476175,2,7,9999
"2_7_sim_GP_param.csv","mu_300",3.4557959337171,2,7,9999
"2_7_sim_GP_param.csv","mu_500",4.68773462825793,2,7,9999
"2_8_sim_GP_param.csv","alpha",4,2,8,9999
"2_8_sim_GP_param.csv","rho",0.1,2,8,9999
