"N","param","mean","2.5%","25%","50%","75%","97.5%","species","it"
330,"mu[5]",-3.949746522,-4.980220278,-4.729654457,-4.337342081,-3.653865839,-0.435341422,"Clupea pallasii",7
330,"alpha",3.599412435,1.895288534,2.966797564,3.585505776,4.222252588,5.505801574,"Clupea pallasii",8
330,"rho",2.377752438,1.350199505,2.120468408,2.40272061,2.679049961,3.212599963,"Clupea pallasii",8
330,"sigma",3.684980472,3.415383846,3.582921871,3.68191502,3.780243867,3.977794045,"Clupea pallasii",8
330,"mu[1]",-1.069609742,-4.685294708,-2.865644242,-1.322195984,0.385528411,4.192413475,"Clupea pallasii",8
330,"mu[2]",-1.639860667,-4.753205148,-3.376615357,-1.944847327,-0.294136443,3.393472112,"Clupea pallasii",8
330,"mu[3]",-2.000240431,-4.856134658,-3.730803069,-2.394816246,-0.738766128,3.181239627,"Clupea pallasii",8
330,"mu[4]",-2.277923271,-4.858519981,-3.83618707,-2.699790279,-1.12762968,2.475093711,"Clupea pallasii",8
330,"mu[5]",-2.519446579,-4.911111489,-4.035034161,-2.919380283,-1.460497674,2.190486526,"Clupea pallasii",8
330,"alpha",2.642077985,1.729434302,2.210585818,2.509360839,2.887313885,4.457247568,"Clupea pallasii",9
330,"rho",-0.038954144,-1.159752858,-0.591645354,-0.215163552,0.15268171,2.508160777,"Clupea pallasii",9
330,"sigma",3.483915413,3.129346655,3.352441302,3.475454551,3.609455927,3.88881672,"Clupea pallasii",9
330,"mu[1]",-1.662225808,-4.229516882,-2.398127149,-1.718890758,-0.979301252,1.081128064,"Clupea pallasii",9
330,"mu[2]",-2.920123831,-4.741820157,-3.771177165,-3.147046404,-2.401737748,0.533306843,"Clupea pallasii",9
330,"mu[3]",-3.826110649,-4.943255845,-4.57751133,-4.142610059,-3.472096736,-0.728311162,"Clupea pallasii",9
330,"mu[4]",-4.081789179,-4.982753451,-4.762440213,-4.420402586,-3.865629019,-0.537338449,"Clupea pallasii",9
330,"mu[5]",-4.161528024,-4.976764089,-4.777067838,-4.477049611,-3.951283446,-1.052909437,"Clupea pallasii",9
330,"alpha",4.139482658,2.916078699,3.641504111,4.090907397,4.59917529,5.55401077,"Engraulis mordax",1
330,"rho",0.76176704,-0.18400688,0.638304809,0.83260457,0.985364368,1.220301365,"Engraulis mordax",1
330,"sigma",3.620031983,3.26954182,3.525636287,3.624277618,3.727961995,3.942358927,"Engraulis mordax",1
330,"mu[1]",-0.2659865,-4.249081863,-1.878338731,-0.253081386,1.22265132,3.961956933,"Engraulis mordax",1
330,"mu[2]",-1.568304506,-4.609926521,-3.088304693,-1.80147173,-0.31237618,2.94095237,"Engraulis mordax",1
330,"mu[3]",-2.523575583,-4.890684035,-3.963492912,-2.854979705,-1.459602636,1.843554754,"Engraulis mordax",1
330,"mu[4]",-2.807555843,-4.889416525,-4.093399517,-3.129897622,-1.89954569,1.173371986,"Engraulis mordax",1
330,"mu[5]",-2.87433023,-4.910363981,-4.13607918,-3.19369071,-1.984864287,0.864758831,"Engraulis mordax",1
330,"alpha",4.12177152,3.008394696,3.64328546,4.059154571,4.544534518,5.571803605,"Engraulis mordax",10
330,"rho",0.530987041,-1.44798356,0.530589937,0.811174998,0.990832395,1.260221597,"Engraulis mordax",10
330,"sigma",3.440292618,2.371610875,3.405646931,3.535593947,3.646228624,3.85770439,"Engraulis mordax",10
330,"mu[1]",-0.095287733,-4.355883374,-1.814701448,-0.09269625,1.621127984,3.935005853,"Engraulis mordax",10
330,"mu[2]",-1.961444521,-4.739412969,-3.480057556,-2.335342902,-0.718014353,2.538222956,"Engraulis mordax",10
330,"mu[3]",-2.69000258,-4.903298556,-4.127453061,-3.086842069,-1.634576959,1.658734321,"Engraulis mordax",10
330,"mu[4]",-2.7916447,-4.912785556,-4.150132081,-3.212956951,-1.812392512,1.327811509,"Engraulis mordax",10
330,"mu[5]",-3.1332287,-4.922650983,-4.37798303,-3.528118615,-2.283631781,0.650172585,"Engraulis mordax",10
330,"alpha",4.15104383,2.946625057,3.635858456,4.102687322,4.611048762,5.672885174,"Engraulis mordax",11
330,"rho",0.738718283,-0.093558557,0.579424193,0.803979703,0.970156753,1.213596797,"Engraulis mordax",11
330,"sigma",3.550906574,3.250540459,3.450924494,3.549005583,3.657336858,3.854887731,"Engraulis mordax",11
330,"mu[1]",-0.254659495,-4.2664098,-1.784999273,-0.318467518,1.237938225,4.027447445,"Engraulis mordax",11
330,"mu[2]",-1.798301645,-4.851698717,-3.306911105,-2.042066575,-0.581257893,2.473066336,"Engraulis mordax",11
330,"mu[3]",-2.521344909,-4.883591984,-3.892146858,-2.863435679,-1.523413011,1.802242637,"Engraulis mordax",11
330,"mu[4]",-2.814098949,-4.900902724,-4.086929338,-3.176784151,-1.908232479,1.141431487,"Engraulis mordax",11
330,"mu[5]",-2.989771501,-4.927482594,-4.251943734,-3.337741389,-2.141983695,1.074835804,"Engraulis mordax",11
330,"alpha",4.27276339,3.05130929,3.763504872,4.227717208,4.733023379,5.753360888,"Engraulis mordax",12
330,"rho",0.905184353,0.407696262,0.781242335,0.931766404,1.055457502,1.268299418,"Engraulis mordax",12
330,"sigma",3.537728977,3.264253381,3.43879939,3.530350574,3.634065102,3.828814013,"Engraulis mordax",12
330,"mu[1]",-0.570636328,-4.496241273,-2.047556845,-0.599452681,0.892388592,3.598883189,"Engraulis mordax",12
330,"mu[2]",-1.382189626,-4.707899253,-2.972439383,-1.561497965,-0.042602286,3.160853105,"Engraulis mordax",12
330,"mu[3]",-2.409979517,-4.897600277,-3.871937313,-2.74739412,-1.321556787,2.072976075,"Engraulis mordax",12
330,"mu[4]",-2.529829024,-4.899585525,-3.889943723,-2.821415894,-1.518833343,1.565108898,"Engraulis mordax",12
330,"mu[5]",-2.77500359,-4.892822875,-4.085499771,-3.147651816,-1.805630943,1.346484722,"Engraulis mordax",12
330,"alpha",4.247281295,2.963827138,3.738232249,4.202631014,4.700334435,5.785464286,"Engraulis mordax",13
330,"rho",0.84201877,0.272725257,0.707226465,0.86606117,1.00910857,1.248084061,"Engraulis mordax",13
330,"sigma",3.596411281,3.327379296,3.496437725,3.594242298,3.688755729,3.891855722,"Engraulis mordax",13
