"source","parameter","value","rho_it","it","N"
"10_6_est_GP_param.csv","mu[5]",5.905630125,10,6,330
"10_7_est_GP_param.csv","alpha",3.505502607,10,7,330
"10_7_est_GP_param.csv","rho",1.575121954,10,7,330
"10_7_est_GP_param.csv","sigma",3.151671334,10,7,330
"10_7_est_GP_param.csv","mu[1]",3.923586289,10,7,330
"10_7_est_GP_param.csv","mu[2]",0.144569414,10,7,330
"10_7_est_GP_param.csv","mu[3]",-0.720163451,10,7,330
"10_7_est_GP_param.csv","mu[4]",-0.429800008,10,7,330
"10_7_est_GP_param.csv","mu[5]",-0.817725213,10,7,330
"10_8_est_GP_param.csv","alpha",3.175402029,10,8,330
"10_8_est_GP_param.csv","rho",1.93803617,10,8,330
"10_8_est_GP_param.csv","sigma",2.95823684,10,8,330
"10_8_est_GP_param.csv","mu[1]",1.485405013,10,8,330
"10_8_est_GP_param.csv","mu[2]",-0.33020797,10,8,330
"10_8_est_GP_param.csv","mu[3]",7.438307486,10,8,330
"10_8_est_GP_param.csv","mu[4]",2.720424,10,8,330
"10_8_est_GP_param.csv","mu[5]",-0.325217944,10,8,330
"10_9_est_GP_param.csv","alpha",3.092038718,10,9,330
"10_9_est_GP_param.csv","rho",1.797353707,10,9,330
"10_9_est_GP_param.csv","sigma",2.80078018,10,9,330
"10_9_est_GP_param.csv","mu[1]",0.109122117,10,9,330
"10_9_est_GP_param.csv","mu[2]",-1.713778437,10,9,330
"10_9_est_GP_param.csv","mu[3]",-1.828589154,10,9,330
"10_9_est_GP_param.csv","mu[4]",-1.254461516,10,9,330
"10_9_est_GP_param.csv","mu[5]",-0.484165198,10,9,330
"11_1_est_GP_param.csv","alpha",2.622647357,11,1,330
"11_1_est_GP_param.csv","rho",-2.725566499,11,1,330
"11_1_est_GP_param.csv","sigma",1.282907425,11,1,330
"11_1_est_GP_param.csv","mu[1]",-0.783151033,11,1,330
"11_1_est_GP_param.csv","mu[2]",-2.190774446,11,1,330
"11_1_est_GP_param.csv","mu[3]",-0.920145565,11,1,330
"11_1_est_GP_param.csv","mu[4]",-1.033958116,11,1,330
"11_1_est_GP_param.csv","mu[5]",-3.390109641,11,1,330
"11_10_est_GP_param.csv","alpha",1.835483046,11,10,330
"11_10_est_GP_param.csv","rho",0.753067106,11,10,330
"11_10_est_GP_param.csv","sigma",3.042182235,11,10,330
"11_10_est_GP_param.csv","mu[1]",-0.172929058,11,10,330
"11_10_est_GP_param.csv","mu[2]",-2.190908559,11,10,330
"11_10_est_GP_param.csv","mu[3]",-2.727476404,11,10,330
"11_10_est_GP_param.csv","mu[4]",4.72613243,11,10,330
"11_10_est_GP_param.csv","mu[5]",5.626149093,11,10,330
"11_11_est_GP_param.csv","alpha",2.253369425,11,11,330
"11_11_est_GP_param.csv","rho",1.676907126,11,11,330
"11_11_est_GP_param.csv","sigma",2.791225164,11,11,330
"11_11_est_GP_param.csv","mu[1]",1.908120197,11,11,330
"11_11_est_GP_param.csv","mu[2]",2.043100187,11,11,330
"11_11_est_GP_param.csv","mu[3]",0.692071812,11,11,330
"11_11_est_GP_param.csv","mu[4]",2.008525263,11,11,330
"11_11_est_GP_param.csv","mu[5]",-0.947090242,11,11,330
"11_12_est_GP_param.csv","alpha",3.070760786,11,12,330
"11_12_est_GP_param.csv","rho",1.956410156,11,12,330
"11_12_est_GP_param.csv","sigma",3.036902125,11,12,330
"11_12_est_GP_param.csv","mu[1]",-1.034936798,11,12,330
"11_12_est_GP_param.csv","mu[2]",1.02974161,11,12,330
"11_12_est_GP_param.csv","mu[3]",-1.285503061,11,12,330
"11_12_est_GP_param.csv","mu[4]",-0.766498262,11,12,330
"11_12_est_GP_param.csv","mu[5]",2.359632539,11,12,330
"11_13_est_GP_param.csv","alpha",3.262848472,11,13,330
"11_13_est_GP_param.csv","rho",2.644330011,11,13,330
"11_13_est_GP_param.csv","sigma",2.949477204,11,13,330
"11_13_est_GP_param.csv","mu[1]",2.327181665,11,13,330
"11_13_est_GP_param.csv","mu[2]",-1.772639353,11,13,330
"11_13_est_GP_param.csv","mu[3]",-0.677081348,11,13,330
"11_13_est_GP_param.csv","mu[4]",3.168701097,11,13,330
"11_13_est_GP_param.csv","mu[5]",-3.00012522,11,13,330
"11_14_est_GP_param.csv","alpha",3.223481853,11,14,330
"11_14_est_GP_param.csv","rho",1.805566213,11,14,330
"11_14_est_GP_param.csv","sigma",2.836381134,11,14,330
"11_14_est_GP_param.csv","mu[1]",-0.190879478,11,14,330
"11_14_est_GP_param.csv","mu[2]",-1.864300966,11,14,330
"11_14_est_GP_param.csv","mu[3]",0.162055369,11,14,330
"11_14_est_GP_param.csv","mu[4]",-3.357235904,11,14,330
"11_14_est_GP_param.csv","mu[5]",1.659390102,11,14,330
"11_15_est_GP_param.csv","alpha",2.965308256,11,15,330
"11_15_est_GP_param.csv","rho",1.873795763,11,15,330
"11_15_est_GP_param.csv","sigma",2.950595061,11,15,330
"11_15_est_GP_param.csv","mu[1]",0.787608204,11,15,330
"11_15_est_GP_param.csv","mu[2]",-1.205346105,11,15,330
"11_15_est_GP_param.csv","mu[3]",-1.478806906,11,15,330
"11_15_est_GP_param.csv","mu[4]",6.443501435,11,15,330
"11_15_est_GP_param.csv","mu[5]",-0.958131059,11,15,330
"11_16_est_GP_param.csv","alpha",3.592918457,11,16,330
"11_16_est_GP_param.csv","rho",2.2284505,11,16,330
"11_16_est_GP_param.csv","sigma",2.980641422,11,16,330
"11_16_est_GP_param.csv","mu[1]",1.497380125,11,16,330
"11_16_est_GP_param.csv","mu[2]",0.491710073,11,16,330
"11_16_est_GP_param.csv","mu[3]",-0.925593023,11,16,330
"11_16_est_GP_param.csv","mu[4]",-3.130421026,11,16,330
"11_16_est_GP_param.csv","mu[5]",1.390644346,11,16,330
"11_17_est_GP_param.csv","alpha",2.681748435,11,17,330
"11_17_est_GP_param.csv","rho",1.829232343,11,17,330
"11_17_est_GP_param.csv","sigma",2.91646014,11,17,330
"11_17_est_GP_param.csv","mu[1]",-0.524295316,11,17,330
"11_17_est_GP_param.csv","mu[2]",-0.438158923,11,17,330
